Account Details For:,DBS Multiplier Account
Account No.:,XXX-X-XXX456
Available Balance:,18425.63

Statement Period:,01 Jun 2025 to 30 Jun 2025

Transaction Date,Reference,Debit Amount,Credit Amount,Transaction Ref1,Transaction Ref2,Transaction Ref3
"01/06/2025","GIRO","185.00","","GIRO  PAYMENT","AIA SINGAPORE PTE LTD","POLICY 88213"
"02/06/2025","IBG","","6800.00","SALA","NORTHWIND ANALYTICS PTE LTD","JUN SALARY"
"02/06/2025","ITR","420.00","","PayNow Transfer To","ALEX TAN","MONTHLY ALLOWANCE"
"03/06/2025","ITR","300.00","","PayNow Transfer To","JAMIE LOW","ALLOWANCE"
"03/06/2025","GIRO","68.90","","GIRO  PAYMENT","SINGTEL MOBILE","BILL 4471"
"04/06/2025","POS","142.35","","NTUC FAIRPRICE FINEST","SINGAPORE SG",""
"05/06/2025","ITR","45.00","","PayNow Transfer To","TAN WEI MING","DINNER SHARE"
"06/06/2025","GIRO","129.00","","GIRO  PAYMENT","SP SERVICES LTD","UTILITIES"
"08/06/2025","ATM","200.00","","CASH WITHDRAWAL","ATM  BUKIT TIMAH",""
"10/06/2025","ITR","500.00","","FUNDS TRANSFER TO","YOUTRIP TOP UP","TRAVEL WALLET"
"12/06/2025","GIRO","1240.55","","CREDIT CARD PAYMENT","OCBC 90N CARD","AUTO DEBIT"
"15/06/2025","ITR","","180.00","PayNow Transfer From","LIM JIA HUI","TRIP REFUND"
"18/06/2025","GIRO","58.00","","GIRO  PAYMENT","ANYTIME FITNESS","MEMBERSHIP JUN"
"20/06/2025","DIV","","312.40","DIVIDEND","CDP SECURITIES","DBS GROUP HLDG"
"22/06/2025","GIRO","890.00","","CREDIT CARD PAYMENT","UOB ONE CARD","AUTO DEBIT"
"25/06/2025","ITR","1500.00","","FUNDS TRANSFER TO","OWN ACCOUNT SAVINGS","SAVINGS"
"28/06/2025","POS","88.20","","SHENG SIONG SUPERMARKET","SINGAPORE SG",""
"30/06/2025","INT","","94.18","BONUS INTEREST","MULTIPLIER ACCOUNT",""
"30/06/2025","FEE","5.00","","SERVICE CHARGE","MONTHLY FEE",""

Total Debit,,5587.00,,,,
